measnum,varname,strain,strainid,sex,mean,nmice,sd,sem,cv,minval,maxval,zscore
62007,periphery_dist_pct,BXD40,1140,m,49.0,10,9.49,3.00,0.194,33.4,63.2,-1.12
62007,periphery_dist_pct,BXD42,1142,m,59.2,10,5.73,1.81,0.0967,45.4,64.3,0.13
62007,periphery_dist_pct,BXD43,1143,m,51.8,10,4.52,1.43,0.0873,40.8,56.0,-0.77
62007,periphery_dist_pct,BXD44,1144,m,56.5,10,9.13,2.89,0.162,42.2,73.7,-0.20
62007,periphery_dist_pct,BXD48,1148,m,48.2,10,6.51,2.06,0.135,38.9,62.1,-1.21
62007,periphery_dist_pct,BXD49,1149,m,55.1,10,6.61,2.09,0.120,46.5,65.7,-0.37
62007,periphery_dist_pct,BXD50,1150,m,59.2,10,8.73,2.76,0.147,49.2,80.6,0.13
62007,periphery_dist_pct,BXD51,1151,m,78.5,10,5.03,1.59,0.0641,71.3,84.0,2.50
62007,periphery_dist_pct,BXD6,1106,m,64.6,10,8.78,2.78,0.136,50.2,74.9,0.79
62007,periphery_dist_pct,BXD61,1161,m,63.7,10,6.69,2.11,0.105,55.4,72.2,0.68
62007,periphery_dist_pct,BXD62,1162,m,49.5,10,20.2,6.37,0.407,2.45,72.2,-1.05
62007,periphery_dist_pct,BXD65,1165,m,53.1,10,6.62,2.09,0.125,42.2,62.5,-0.61
62007,periphery_dist_pct,BXD66,1166,m,62.6,4,8.11,4.06,0.130,55.6,72.4,0.55
